text,label
"Your SBI account will be blocked today. Verify KYC now and share OTP",phishing
"Urgent: HDFC card suspended. Click http://hdfc-verify.top to update details",phishing
"Your UPI is deactivated. Confirm your password immediately",phishing
"Unusual login detected. Verify your account or it will be closed",phishing
"Work from home and earn Rs 5000 per day. Pay registration fee to join",fake_job
"Hiring now! No experience needed. Deposit training fee on WhatsApp",fake_job
"Part time job offer, daily income guaranteed, message HR on Telegram",fake_job
"Job vacancy at top MNC. Pay security fee to confirm your offer letter",fake_job
"Pre-approved instant loan of 5 lakh with no CIBIL check. Pay processing fee",fake_loan
"Loan approved without documents. Send advance fee to receive money",fake_loan
"Get instant personal loan today, low EMI, pay insurance fee first",fake_loan
"Your credit limit is increased. Loan offer expires today, pay fee",fake_loan
"Congratulations you won the lucky draw of Rs 25 lakh. Claim your prize now",prize
"You are the winner of our lottery jackpot. Claim reward today",prize
"Free gift and cashback waiting for you. Claim prize at free-reward.xyz",prize
"Lucky winner! You have won an iPhone. Claim now",prize
"Meeting moved to 4 pm tomorrow in the lab",safe
"Your OTP for login is 4821. Do not share it with anyone",safe
"Dinner at home tonight? Mom is making paneer",safe
"Your order has been delivered. Thanks for shopping",safe
"Reminder: college fee due date is on the 30th, pay on the official portal",safe
"Happy birthday! Let us catch up this weekend",safe
"Assignment submission deadline extended to Friday",safe
"Your bill of Rs 450 was paid successfully. Thank you",safe
